

26.01,35,8,64,49,50,4,238

04/26/2015,Jannik Hansen,Vancouver Canucks,EV,Wrist,29,Shawn Matthias,Christopher Tanev,
04/26/2015,Radim Vrbata,Vancouver Canucks,PP,Tip-In,11,Daniel Sedin,Henrik Sedin,
04/26/2015,Michael Ferland,Calgary Flames,EV,Tip-In,18,Matt Stajan,David Jones,
04/26/2015,Sean Monahan,Calgary Flames,EV,Backhand,11,Jiri Hudler,Dennis Wideman,
04/26/2015,Johnny Gaudreau,Calgary Flames,EV,Tip-In,16,Jiri Hudler,TJ Brodie,
04/26/2015,Luca Sbisa,Vancouver Canucks,EV,Wrist,56,Jannik Hansen,,
04/26/2015,Jiri Hudler,Calgary Flames,PP,Wrist,4,Sean Monahan,Johnny Gaudreau,
04/26/2015,Matt Stajan,Calgary Flames,EV,Wrist,18,Michael Ferland,David Jones,
04/26/2015,Jiri Hudler,Calgary Flames,EV-EN,Wrist,21,Sean Monahan,Johnny Gaudreau,
04/26/2015,Michael Ferland,Calgary Flames,EV-EN,Wrist,25,David Jones,Matt Stajan,
05/01/2015,Tyler Johnson,Tampa Bay Lightning,EV,Tip-In,14,Matthew Carle,Andrej Sustr,
05/01/2015,Max Pacioretty,Montreal Canadiens,EV,Wrist,35,P.K. Subban,Tom Gilbert,
05/01/2015,Nikita Kucherov,Tampa Bay Lightning,EV,Wrist,27,Valtteri Filppula,,
05/03/2015,Jeff Petry,Montreal Canadiens,EV,Wrist,61,Torrey Mitchell,Brandon Prust,
05/03/2015,Valtteri Filppula,Tampa Bay Lightning,PP,Snap,46,Victor Hedman,Alex Killorn,
05/03/2015,Steven Stamkos,Tampa Bay Lightning,EV,Wrist,6,Jason Garrison,Braydon Coburn,
05/03/2015,Nikita Kucherov,Tampa Bay Lightning,PP,Snap,24,Tyler Johnson,Steven Stamkos,
05/03/2015,Victor Hedman,Tampa Bay Lightning,PP,Wrist,13,Alex Killorn,Valtteri Filppula,
05/03/2015,Nikita Kucherov,Tampa Bay Lightning,PP,Tip-In,21,Tyler Johnson,Steven Stamkos,
05/03/2015,Tom Gilbert,Montreal Canadiens,EV,Slap,61,Alexei Emelin,Devante Smith-Pelly,
05/03/2015,J.T. Brown,Tampa Bay Lightning,EV,Tip-In,9,Valtteri Filppula,Brian Boyle,
05/06/2015,Alex Killorn,Tampa Bay Lightning,EV,Wrist,21,Steven Stamkos,,
05/06/2015,Brendan Gallagher,Montreal Canadiens,EV,Backhand,12,Tom Gilbert,Greg Pateryn,
05/06/2015,Tyler Johnson,Tampa Bay Lightning,EV,Wrist,13,Victor Hedman,Ondrej Palat,
05/07/2015,Andrei Markov,Montreal Canadiens,EV,Wrist,23,P.K. Subban,Max Pacioretty,
05/07/2015,Max Pacioretty,Montreal Canadiens,SH,Wrist,25,Tom Gilbert,,
05/07/2015,David Desharnais,Montreal Canadiens,EV,Slap,40,Dale Weise,Alex Galchenyuk,
05/07/2015,Jeff Petry,Montreal Canadiens,PP,Slap,47,Alex Galchenyuk,P.K. Subban,
05/07/2015,Brendan Gallagher,Montreal Canadiens,EV,Slap,43,Max Pacioretty,Tomas Plekanec,
05/07/2015,Nikita Kucherov,Tampa Bay Lightning,PP,Tip-In,23,Ondrej Palat,Anton Stralman,
05/07/2015,Ondrej Palat,Tampa Bay Lightning,PP,Wrist,14,Tyler Johnson,Steven Stamkos,
05/07/2015,Brandon Prust,Montreal Canadiens,EV,Backhand,19,Lars Eller,Pierre-Alexandre Parenteau,
